2017-07-19 21:40:08.0700|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|-- herausgefiltert: 558 Elemente.
2017-07-19 21:40:08.0703|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|Wandle 0 Termine in CSV um.
2017-07-19 21:40:08.0704|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|Konvertierung ist beendet
2017-07-19 21:41:13.0234|INFO   |Thread-4                      |util.Version                                 :  30|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|HV000001: Hibernate Validator 5.3.4.Final
2017-07-19 21:42:43.0226|INFO   |Thread-4                      |util.Version                                 :  30|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|HV000001: Hibernate Validator 5.3.4.Final
2017-07-19 21:45:25.0003|INFO   |Thread-4                      |util.Version                                 :  30|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|HV000001: Hibernate Validator 5.3.4.Final
2017-07-19 21:45:27.0741|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 7: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jul 23 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Jul 23 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0742|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 12: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jul 30 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Jul 30 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0742|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 15: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 06 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Aug 06 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0742|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 16: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 20 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Aug 20 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0742|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 17: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 03 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Sep 03 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0743|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 18: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 10 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Sep 10 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0745|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 42: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 17 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Sep 17 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung= Gottesdienst zum Frauensonntag „auf.Recht", ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0746|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 56: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=Fr., beginnDatum=Fri Sep 22 00:00:00 CEST 2017, beginnUhrzeit=20:00, endeDatum=Fri Sep 22 00:00:00 CEST 2017, endeUhrzeit=22:00, beschreibung=Benefizkonzert - Veranstalter: Lions Club Heimsheim, ort=Stadtkirche, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0746|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 60: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 24 00:00:00 CEST 2017, beginnUhrzeit=10:00, endeDatum=Sun Sep 24 00:00:00 CEST 2017, endeUhrzeit=11:15, beschreibung=Festgottesdienst der Baden-Württembergischen Kommende des Johanniterordens, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-07-19 21:45:27.0746|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2017-07-18_2017.2 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 123: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=Sa., beginnDatum=Sat Oct 14 00:00:00 CEST 2017, beginnUhrzeit=19:30, endeDatum=Sat Oct 14 00:00:00 CEST 2017, endeUhrzeit=22:00, beschreibung=Benefizkonzert zum Hospiztag - Veranstalter: Lions Club PforzheimStadtkirche, ort=null, art=Konzert, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
